Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TFII.TO,TFII.TO,TFII.TO,TFII.TO,TFII.TO,TFII.TO
Date,,,,,,
2021-07-08,106.29489135742188,113.80999755859375,115.0,111.54000091552734,111.97000122070312,461700
2021-07-09,107.40634155273438,115.0,115.87999725341797,113.9800033569336,114.12000274658203,348600
2021-07-12,106.5937728881836,114.12999725341797,115.77999877929688,113.83000183105469,115.0,154300
2021-07-13,106.2762222290039,113.79000091552734,115.02999877929688,113.30999755859375,113.88999938964844,106600
2021-07-14,115.57855987548828,123.75,124.36000061035156,114.19999694824219,114.19999694824219,732600
2021-07-15,117.48384094238281,125.79000091552734,126.3499984741211,122.3499984741211,123.48999786376953,330200
2021-07-16,114.6539306640625,122.76000213623047,126.12999725341797,122.19999694824219,125.98999786376953,221200
2021-07-19,114.16825103759766,122.23999786376953,123.19999694824219,118.7699966430664,122.27999877929688,302100
2021-07-20,117.03553771972656,125.30999755859375,125.55999755859375,121.94999694824219,122.37999725341797,182500
2021-07-21,118.25901794433594,126.62000274658203,127.91000366210938,125.43000030517578,125.43000030517578,310600
2021-07-22,119.56658172607422,128.02000427246094,128.17999267578125,124.80000305175781,126.0,194000
2021-07-23,121.78943634033203,130.39999389648438,130.6999969482422,127.7699966430664,128.88999938964844,275400
2021-07-26,122.7794189453125,131.4600067138672,132.0500030517578,128.61000061035156,130.52999877929688,212200
2021-07-27,131.55873107910156,140.86000061035156,145.4600067138672,136.0399932861328,140.14999389648438,593700
2021-07-28,129.08372497558594,138.2100067138672,140.86000061035156,134.42999267578125,140.63999938964844,407300
2021-07-29,131.0543975830078,140.32000732421875,141.38999938964844,137.36000061035156,138.14999389648438,240400
2021-07-30,130.43798828125,139.66000366210938,141.08999633789062,139.02999877929688,139.9600067138672,259100
2021-08-03,130.8675994873047,140.1199951171875,141.27999877929688,138.85000610351562,139.25,335500
2021-08-04,128.9249267578125,138.0399932861328,141.0,137.94000244140625,140.5800018310547,258000
2021-08-05,130.01768493652344,139.2100067138672,139.47000122070312,136.64999389648438,137.7899932861328,234900
2021-08-06,130.63414001464844,139.8699951171875,142.25,138.8300018310547,138.9199981689453,254900
2021-08-09,130.67147827148438,139.91000366210938,140.99000549316406,138.75,139.89999389648438,299900
2021-08-10,130.6808319091797,139.9199981689453,141.08999633789062,139.5500030517578,139.6300048828125,223800
2021-08-11,131.50271606445312,140.8000030517578,140.9199981689453,139.1300048828125,139.5,299900
2021-08-12,131.6521453857422,140.9600067138672,141.63999938964844,139.89999389648438,140.02999877929688,221900
2021-08-13,130.55938720703125,139.7899932861328,140.72000122070312,138.02999877929688,140.72000122070312,147700
2021-08-16,129.18646240234375,138.32000732421875,139.99000549316406,137.5399932861328,139.14999389648438,224300
2021-08-17,128.25247192382812,137.32000732421875,138.35000610351562,135.5,138.0800018310547,186100
2021-08-18,129.77487182617188,138.9499969482422,140.16000366210938,136.86000061035156,136.8800048828125,256100
2021-08-19,128.20582580566406,137.27000427246094,138.5,136.3699951171875,137.8300018310547,171400
2021-08-20,128.504638671875,137.58999633789062,138.85000610351562,137.10000610351562,137.47999572753906,109900
2021-08-23,131.0356903076172,140.3000030517578,140.49000549316406,137.10000610351562,137.10000610351562,269200
2021-08-24,132.3619384765625,141.72000122070312,141.8800048828125,139.61000061035156,140.0,113900
2021-08-25,132.79156494140625,142.17999267578125,143.8000030517578,140.22999572753906,141.2899932861328,189300
2021-08-26,131.9696807861328,141.3000030517578,142.91000366210938,140.99000549316406,141.72999572753906,127700
2021-08-27,133.09043884277344,142.5,143.27000427246094,141.1300048828125,141.58999633789062,133900
2021-08-30,133.0437469482422,142.4499969482422,144.22000122070312,141.55999755859375,143.0,154000
2021-08-31,133.1371612548828,142.5500030517578,144.6199951171875,142.35000610351562,142.4499969482422,188000
2021-09-01,135.8083038330078,145.41000366210938,145.9499969482422,142.49000549316406,142.49000549316406,183000
2021-09-02,134.49139404296875,144.0,146.77999877929688,143.8699951171875,145.72000122070312,163300
2021-09-03,134.46334838867188,143.97000122070312,144.25,142.1999969482422,143.02999877929688,188000
2021-09-07,135.78964233398438,145.38999938964844,146.5,144.05999755859375,144.32000732421875,267100
2021-09-08,130.27920532226562,139.49000549316406,145.27999877929688,138.3800048828125,144.33999633789062,787100
2021-09-09,131.93231201171875,141.25999450683594,141.8699951171875,139.5,140.08999633789062,309000
2021-09-10,134.15516662597656,143.63999938964844,145.3000030517578,141.5800018310547,141.5800018310547,504500
2021-09-13,133.0437469482422,142.4499969482422,143.8800048828125,140.97999572753906,143.35000610351562,329900
2021-09-14,132.95033264160156,142.35000610351562,143.42999267578125,141.3000030517578,143.42999267578125,302700
2021-09-15,134.34197998046875,143.83999633789062,143.97000122070312,140.33999633789062,142.39999389648438,311800
2021-09-16,133.35195922851562,142.77999877929688,145.08999633789062,142.32000732421875,142.44000244140625,195200
2021-09-17,134.55677795410156,144.07000732421875,144.22000122070312,141.77999877929688,141.77999877929688,426000
2021-09-20,132.76353454589844,142.14999389648438,142.89999389648438,140.67999267578125,142.10000610351562,166000
