symbol,strategy,decision,reason,price,prior_52_week_high,average_volume,rvol,sma_50,sma_200,breakout
AC.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,22.729999542236328,25.5,2068230,0.56,22.312000122070312,19.722500038146972,False
AEM.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,199.86000061035156,348.94000244140625,971471,0.89,231.23460083007814,255.07895095825197,False
AGI.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,41.68000030517578,75.77999877929688,1388511,1.07,49.1615998840332,54.03050001144409,False
AQN.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,8.119999885559082,9.6899995803833,3061180,0.88,8.211999940872193,8.505649988651276,False
ARX.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,32.45000076293945,32.58000183105469,3221988,1.08,31.03720012664795,27.264350004196167,False
ATD.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,89.91000366210938,95.1500015258789,1828642,0.7,84.57760009765624,78.24190006256103,False
ATH.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,10.6899995803833,12.859999656677246,1599610,1.43,11.106599979400634,9.038700003623962,False
BB.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,12.680000305175781,18.450000762939453,7056809,0.44,12.827199954986572,7.454899985790252,False
BMO.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,252.1699981689453,258.2099914550781,1857503,0.62,234.9515997314453,198.8922996520996,False
BNS.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,123.37999725341797,126.87000274658203,5170282,1.01,116.50060012817383,103.06875011444092,False
BTE.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,5.980000019073486,7.369999885559082,3753510,0.8,6.282200012207031,5.160599993467331,False
CAE.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,34.47999954223633,47.650001525878906,777823,0.76,35.48360015869141,38.58760004043579,False
CCL-B.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,89.7699966430664,95.0,356799,1.4,87.86880035400391,85.53255008697509,False
CLS.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,479.8800048828125,655.5,328072,1.02,512.5397973632812,449.5339985656738,False
CM.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,165.6999969482422,171.63999938964844,2648440,0.89,158.64279998779296,136.41279998779297,False
CNQ.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,63.310001373291016,70.98999786376953,16913648,0.26,61.60420013427734,55.10405002593994,False
CNR.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,179.4600067138672,181.8000030517578,1255249,0.73,165.86079986572267,146.49149978637695,False
CP.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,128.6999969482422,131.88999938964844,1309760,0.71,123.52399917602538,111.00934970855712,False
CSU.TO,52_WEEK_BREAKOUT,IGNORE,Average volume too low,2658.52001953125,5040.75,53976,0.97,2776.15041015625,2924.7875012207032,False
CVE.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,40.599998474121094,44.130001068115234,4943736,0.62,38.486399993896484,30.99279996871948,False
DOL.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,187.92999267578125,209.9600067138672,642048,1.54,182.46399993896483,187.0420001220703,False
DSG.TO,52_WEEK_BREAKOUT,IGNORE,Average volume too low,100.05999755859375,150.74000549316406,289429,1.42,100.18640014648437,107.83784992218017,False
EMA.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,75.54000091552734,77.80000305175781,968506,1.21,73.69599975585938,70.22204990386963,False
EMP-A.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,49.83000183105469,58.31999969482422,594542,0.82,48.80040008544922,48.53290008544922,False
ENB.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,78.27999877929688,80.6500015258789,4054627,1.42,77.7774008178711,71.27620050430298,False
EQB.TO,52_WEEK_BREAKOUT,IGNORE,Average volume too low,139.6199951171875,150.32000732421875,94454,0.96,125.06579986572265,109.55809986114502,False
FM.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,39.58000183105469,46.36000061035156,2867473,1.12,39.44340003967285,35.80270003318787,False
FTS.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,81.26000213623047,82.87000274658203,997853,0.95,79.19260009765625,75.43385013580323,False
GIB-A.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,94.08999633789062,142.47999572753906,537312,1.56,92.21059982299805,108.43344982147217,False
HIVE.TO,52_WEEK_BREAKOUT,IGNORE,Price below minimum,4.570000171661377,10.960000038146973,3008831,0.86,5.195600018501282,4.595450012683869,False
IFC.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,291.0899963378906,310.8399963378906,395954,1.14,280.0985986328125,269.1507493591309,False
IMO.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,175.58999633789062,191.75999450683594,575245,0.79,170.385400390625,152.52620006561278,False
K.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,33.08000183105469,53.56999969482422,3107597,1.1,37.075600166320804,40.138750076293945,False
LUN.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,36.189998626708984,45.7400016784668,2354434,1.07,37.28380035400391,32.63060004234314,False
MFC.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,60.40999984741211,61.18000030517578,4284779,0.65,55.9384001159668,50.75600002288818,False
MRU.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,92.66999816894531,107.77999877929688,503474,0.77,91.02759948730468,94.57989971160889,False
