symbol,strategy,decision,reason,price,sma_20,rsi_2,rsi_14,bollinger_lower,price_vs_sma20_percent,price_vs_lower_band_percent
AEM.TO,MEAN_REVERSION,WATCH,RSI2 indicates possible oversold condition.,199.86000061035156,212.4465,1.54,30.0313,187.3335,-5.9246,6.6867
AGI.TO,MEAN_REVERSION,WATCH,RSI2 indicates possible oversold condition.,41.68000030517578,42.676,13.0176,34.864,38.6735,-2.3339,7.7741
BB.TO,MEAN_REVERSION,WATCH,RSI2 indicates possible oversold condition.,12.680000305175781,14.9585,2.3713,39.001,11.329,-15.2321,11.9252
BMO.TO,MEAN_REVERSION,WATCH,RSI2 indicates possible oversold condition.,252.1699981689453,250.491,9.0094,56.8427,243.0249,0.6703,3.763
BNS.TO,MEAN_REVERSION,WATCH,RSI2 indicates possible oversold condition.,123.37999725341797,123.2125,8.268,53.3364,119.8876,0.1359,2.9131
CAE.TO,MEAN_REVERSION,WATCH,RSI2 indicates possible oversold condition.,34.47999954223633,35.7095,19.0305,40.9852,33.8805,-3.4431,1.7695
CM.TO,MEAN_REVERSION,WATCH,RSI2 indicates possible oversold condition.,165.6999969482422,164.3005,12.9996,56.2578,158.4323,0.8518,4.5873
ENB.TO,MEAN_REVERSION,WATCH,RSI2 indicates possible oversold condition.,78.27999877929688,78.182,18.1939,52.1016,75.9677,0.1253,3.0438
K.TO,MEAN_REVERSION,WATCH,RSI2 indicates possible oversold condition.,33.08000183105469,33.953,5.5717,36.1759,31.1528,-2.5712,6.1863
MRU.TO,MEAN_REVERSION,WATCH,RSI2 indicates possible oversold condition.,92.66999816894531,92.2135,12.7685,50.2994,88.7707,0.495,4.3926
NA.TO,MEAN_REVERSION,WATCH,RSI2 indicates possible oversold condition.,227.75999450683594,226.4805,11.1539,56.0804,217.596,0.5649,4.671
NTR.TO,MEAN_REVERSION,WATCH,RSI2 indicates possible oversold condition.,94.22000122070312,91.413,13.631,52.9097,84.493,3.0707,11.5122
RY.TO,MEAN_REVERSION,WATCH,RSI2 indicates possible oversold condition.,297.739990234375,294.4895,10.4096,57.8856,283.1979,1.1038,5.135
TD.TO,MEAN_REVERSION,WATCH,RSI2 indicates possible oversold condition.,170.0500030517578,170.979,9.2211,52.2125,167.2225,-0.5433,1.6909
TECK-B.TO,MEAN_REVERSION,WATCH,RSI2 indicates possible oversold condition.,80.20999908447266,83.0535,6.1451,36.8955,76.4931,-3.4237,4.8591
WPM.TO,MEAN_REVERSION,WATCH,RSI2 indicates possible oversold condition.,155.0800018310547,157.599,1.6249,35.2713,142.9738,-1.5984,8.4674
AC.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,22.729999542236328,24.1575,42.1693,44.3351,22.4919,-5.9091,1.0586
AQN.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,8.119999885559082,8.1925,56.4776,49.8938,7.7525,-0.885,4.7404
ARX.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,32.45000076293945,30.715,49.2488,62.25,28.9886,5.6487,11.9406
ATD.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,89.91000366210938,90.963,46.6809,56.1437,86.1597,-1.1576,4.3527
ATH.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,10.6899995803833,10.4755,56.6528,51.0394,9.8567,2.0476,8.4541
BTE.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,5.980000019073486,5.7375,75.4694,49.6412,5.4507,4.2266,9.7107
CCL-B.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,89.7699966430664,91.027,34.2852,52.9377,88.2377,-1.3809,1.7366
CLS.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,479.8800048828125,487.0695,38.6484,37.0431,426.4617,-1.4761,12.5259
CNQ.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,63.310001373291016,58.3685,94.3714,59.1331,54.1874,8.466,16.8353
CNR.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,179.4600067138672,172.8025,38.2314,64.1162,162.4584,3.8527,10.4652
CP.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,128.6999969482422,125.8185,33.4627,59.2399,119.6263,2.2902,7.585
CSU.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,2658.52001953125,2777.7765,46.183,49.6126,2666.127,-4.2932,-0.2853
CVE.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,40.599998474121094,36.751,90.6812,61.7405,33.3449,10.4732,21.7577
DOL.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,187.92999267578125,187.885,65.7611,56.6343,182.1342,0.0239,3.1822
DSG.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,100.05999755859375,100.6845,46.8522,54.0432,93.9233,-0.6203,6.5337
EMA.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,75.54000091552734,75.6345,35.0093,58.7314,73.942,-0.1249,2.1612
EMP-A.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,49.83000183105469,49.636,87.9645,58.0543,47.4758,0.3908,4.9587
EQB.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,139.6199951171875,135.6565,28.0624,61.0141,122.8575,2.9217,13.6439
FM.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,39.58000183105469,38.1745,57.8906,46.5317,35.3459,3.6818,11.979
FTS.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,81.26000213623047,81.4925,45.6597,58.2622,79.9404,-0.2853,1.6507
GIB-A.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,94.08999633789062,92.8015,78.9696,56.428,87.1871,1.3884,7.9173
HIVE.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,4.570000171661377,4.974,71.1715,41.9268,3.4087,-8.1222,34.0687
IFC.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,291.0899963378906,294.3015,43.1508,57.4223,282.6902,-1.0912,2.9714
IMO.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,175.58999633789062,165.9485,77.0043,56.9349,155.42,5.8099,12.9777
LUN.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,36.189998626708984,34.2235,65.4051,46.127,32.0532,5.746,12.906
MFC.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,60.40999984741211,58.481,24.2753,64.337,55.9757,3.2985,7.9218
PAAS.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,62.72999954223633,62.902,51.3284,38.22,57.222,-0.2734,9.6257
PEY.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,24.959999084472656,24.171,70.5855,48.4959,23.5655,3.2642,5.9175
PPL.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,71.08000183105469,68.043,49.0245,66.8835,63.7905,4.4634,11.4273
SHOP.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,173.74000549316406,168.512,60.8267,59.5648,153.4699,3.1025,13.2079
SLF.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,114.19999694824219,112.2075,27.7093,61.7407,108.9563,1.7757,4.8127
STN.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,96.37999725341797,97.8895,39.216,43.5475,95.6366,-1.542,0.7773
SU.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,89.83999633789062,81.3475,90.3781,63.269,73.1832,10.4398,22.7604
TFII.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,216.3000030517578,207.4365,35.7319,54.3537,196.1409,4.2729,10.2779
TOU.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,63.65999984741211,60.6745,87.5342,55.4451,58.401,4.9205,9.005
TRP.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,96.81999969482422,96.857,20.0319,50.3737,93.6146,-0.0382,3.424
WCN.TO,MEAN_REVERSION,IGNORE,No mean reversion setup.,237.25,238.178,35.8958,59.0652,225.399,-0.3896,5.2578
