TMQS,RVOL,Breakout Only,ATR Multiplier,Reward Multiplier,Max Hold Days,Return,Trades,Win Rate,Profit Factor,Expectancy,Max Drawdown
60,1.0,True,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
60,1.0,False,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
60,1.5,True,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
60,1.5,False,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
65,1.0,True,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
65,1.0,False,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
65,1.5,True,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
65,1.5,False,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
70,1.0,True,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
70,1.0,False,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
70,1.5,True,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
70,1.5,False,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
75,1.0,True,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
75,1.0,False,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
75,1.5,True,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
75,1.5,False,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
80,1.0,True,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
80,1.0,False,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
80,1.5,True,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
80,1.5,False,2.0,2.5,10,30.79,2019,52.06,1.59,1.33,-1.35
60,1.0,True,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
60,1.0,False,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
60,1.5,True,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
60,1.5,False,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
65,1.0,True,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
65,1.0,False,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
65,1.5,True,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
65,1.5,False,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
70,1.0,True,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
70,1.0,False,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
70,1.5,True,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
70,1.5,False,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
75,1.0,True,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
75,1.0,False,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
75,1.5,True,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
75,1.5,False,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
80,1.0,True,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
80,1.0,False,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
80,1.5,True,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
80,1.5,False,2.0,2.0,10,28.63,2019,52.3,1.56,1.25,-1.1
60,1.0,True,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
60,1.0,False,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
60,1.5,True,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
60,1.5,False,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
65,1.0,True,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
65,1.0,False,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
65,1.5,True,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
65,1.5,False,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
70,1.0,True,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
70,1.0,False,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
70,1.5,True,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
70,1.5,False,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
75,1.0,True,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
75,1.0,False,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
75,1.5,True,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
75,1.5,False,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
80,1.0,True,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
80,1.0,False,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
80,1.5,True,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
80,1.5,False,1.5,2.5,10,25.04,2019,47.35,1.52,1.11,-1.31
60,1.0,True,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
60,1.0,False,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
60,1.5,True,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
60,1.5,False,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
65,1.0,True,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
65,1.0,False,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
65,1.5,True,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
65,1.5,False,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
70,1.0,True,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
70,1.0,False,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
70,1.5,True,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
70,1.5,False,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
75,1.0,True,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
75,1.0,False,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
75,1.5,True,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
75,1.5,False,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
80,1.0,True,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
80,1.0,False,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
80,1.5,True,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
80,1.5,False,2.0,1.5,10,25.01,2019,53.1,1.5,1.11,-1.15
60,1.0,True,1.5,2.0,10,22.41,2019,48.09,1.48,1.0,-1.33
60,1.0,False,1.5,2.0,10,22.41,2019,48.09,1.48,1.0,-1.33
60,1.5,True,1.5,2.0,10,22.41,2019,48.09,1.48,1.0,-1.33
60,1.5,False,1.5,2.0,10,22.41,2019,48.09,1.48,1.0,-1.33
65,1.0,True,1.5,2.0,10,22.41,2019,48.09,1.48,1.0,-1.33
65,1.0,False,1.5,2.0,10,22.41,2019,48.09,1.48,1.0,-1.33
