Symbol,Entry Date,Exit Date,Entry Price,Exit Price,Stop Price,Target Price,ATR,Hold Days,Return %,Profit/Loss,Exit Reason,Setup Reason
AC.TO,2021-08-23,2021-08-30,24.63,24.42,23.68,26.52,0.63,5,-0.85,-0.21,Time exit,Strong breakout with quality volume
AC.TO,2021-09-27,2021-09-30,24.36,23.37,23.37,26.33,0.66,5,-4.05,-0.99,Stop hit,Strong breakout with quality volume
AC.TO,2021-10-01,2021-10-06,24.64,23.57,23.57,26.78,0.72,5,-4.35,-1.07,Stop hit,Strong breakout with quality volume
AC.TO,2021-11-01,2021-11-03,23.01,24.27,22.38,24.27,0.42,5,5.49,1.26,Target hit,Strong breakout with quality volume
AC.TO,2021-11-02,2021-11-05,24.02,25.43,23.31,25.43,0.47,5,5.88,1.41,Target hit,Strong breakout with quality volume
AC.TO,2021-11-05,2021-11-12,26.34,25.38,25.38,28.26,0.64,5,-3.64,-0.96,Stop hit,Strong breakout with quality volume
AC.TO,2022-01-04,2022-01-11,22.17,22.92,21.07,24.37,0.73,5,3.38,0.75,Time exit,Strong breakout with quality volume
AC.TO,2022-01-07,2022-01-14,23.05,22.85,21.93,25.28,0.75,5,-0.87,-0.2,Time exit,Strong breakout with quality volume
AC.TO,2022-01-31,2022-02-07,22.86,23.68,21.78,25.02,0.72,5,3.59,0.82,Time exit,Strong breakout with quality volume
AC.TO,2022-02-08,2022-02-15,24.82,25.47,23.64,27.17,0.78,5,2.62,0.65,Time exit,Strong breakout with quality volume
AC.TO,2022-02-15,2022-02-23,25.47,24.91,24.21,27.99,0.84,5,-2.2,-0.56,Time exit,Strong breakout with quality volume
AC.TO,2022-02-18,2022-02-24,25.4,24.14,24.14,27.93,0.84,5,-4.97,-1.26,Stop hit,Strong breakout with quality volume
AC.TO,2022-03-16,2022-03-23,22.68,23.75,20.95,26.15,1.16,5,4.72,1.07,Time exit,Strong breakout with quality volume
AC.TO,2022-03-29,2022-04-05,24.72,23.45,23.45,27.25,0.84,5,-5.12,-1.27,Stop hit,Strong breakout with quality volume
AC.TO,2022-04-13,2022-04-21,23.5,24.66,22.43,25.63,0.71,5,4.94,1.16,Time exit,Strong breakout with quality volume
AC.TO,2022-04-19,2022-04-26,23.94,22.87,22.87,26.08,0.71,5,-4.48,-1.07,Stop hit,Strong breakout with quality volume
AC.TO,2022-04-21,2022-04-26,24.66,23.52,23.52,26.93,0.76,5,-4.61,-1.14,Stop hit,Strong breakout with quality volume
AC.TO,2022-07-05,2022-07-12,16.39,16.76,15.05,19.07,0.89,5,2.26,0.37,Time exit,Strong breakout with quality volume
AC.TO,2022-07-19,2022-07-26,17.68,16.57,16.57,19.9,0.74,5,-6.27,-1.11,Stop hit,Strong breakout with quality volume
AC.TO,2022-07-29,2022-08-08,17.39,18.42,16.47,19.24,0.62,5,5.92,1.03,Time exit,Strong breakout with quality volume
AC.TO,2022-08-10,2022-08-17,18.61,19.35,17.79,20.25,0.54,5,3.98,0.74,Time exit,Strong breakout with quality volume
AC.TO,2022-08-15,2022-08-19,19.39,18.59,18.59,20.99,0.53,5,-4.14,-0.8,Stop hit,Strong breakout with quality volume
AC.TO,2022-09-07,2022-09-14,18.14,18.72,17.16,20.1,0.65,5,3.2,0.58,Time exit,Strong breakout with quality volume
AC.TO,2022-09-09,2022-09-16,18.81,18.39,17.85,20.74,0.64,5,-2.23,-0.42,Time exit,Strong breakout with quality volume
AC.TO,2022-09-15,2022-09-19,19.11,18.15,18.15,21.03,0.64,5,-5.01,-0.96,Stop hit,Strong breakout with quality volume
AC.TO,2022-10-04,2022-10-11,17.98,16.73,16.73,20.48,0.83,5,-6.94,-1.25,Stop hit,Strong breakout with quality volume
AC.TO,2022-10-13,2022-10-20,17.31,18.25,16.12,19.69,0.79,5,5.43,0.94,Time exit,Strong breakout with quality volume
AC.TO,2022-10-27,2022-11-03,19.29,18.56,18.39,21.1,0.6,5,-3.78,-0.73,Time exit,Strong breakout with quality volume
AC.TO,2022-11-30,2022-12-07,19.29,18.8,18.58,20.72,0.48,5,-2.54,-0.49,Time exit,Strong breakout with quality volume
