Price,Adj Close,Close,High,Low,Open,Volume
Ticker,EQB.TO,EQB.TO,EQB.TO,EQB.TO,EQB.TO,EQB.TO
Date,,,,,,
2021-07-08,62.48199462890625,69.08999633789062,69.1050033569336,66.28500366210938,67.66999816894531,104800
2021-07-09,62.39155578613281,68.98999786376953,70.17500305175781,68.4800033569336,69.08999633789062,47400
2021-07-12,62.065975189208984,68.62999725341797,69.08999633789062,68.19499969482422,68.83000183105469,18200
2021-07-13,62.36892318725586,68.96499633789062,69.47000122070312,68.11000061035156,68.125,17800
2021-07-14,62.974876403808594,69.63500213623047,69.76499938964844,68.67500305175781,68.67500305175781,30800
2021-07-15,61.283714294433594,67.76499938964844,69.41500091552734,67.29000091552734,69.41500091552734,34000
2021-07-16,60.87675094604492,67.31500244140625,68.11000061035156,67.05000305175781,68.0,32600
2021-07-19,59.845787048339844,66.17500305175781,67.55999755859375,65.36499786376953,67.55999755859375,57200
2021-07-20,61.912254333496094,68.45999908447266,68.93499755859375,66.13500213623047,66.13500213623047,55800
2021-07-21,63.087921142578125,69.76000213623047,69.94999694824219,68.37999725341797,68.54000091552734,43200
2021-07-22,62.47746276855469,69.08499908447266,69.79000091552734,68.94499969482422,69.32499694824219,30200
2021-07-23,63.13764953613281,69.81500244140625,69.98500061035156,68.67500305175781,69.19000244140625,42200
2021-07-26,64.1324462890625,70.91500091552734,71.01499938964844,69.75,69.81500244140625,43200
2021-07-27,65.24028015136719,72.13999938964844,72.5,70.86499786376953,70.86499786376953,39200
2021-07-28,65.14080047607422,72.02999877929688,73.17500305175781,71.66000366210938,72.63500213623047,67000
2021-07-29,65.90045928955078,72.87000274658203,74.5199966430664,72.18000030517578,72.5250015258789,58600
2021-07-30,67.82672882080078,75.0,75.37000274658203,72.70500183105469,72.70500183105469,73800
2021-08-03,66.34811401367188,73.36499786376953,74.99500274658203,73.08000183105469,74.99500274658203,73200
2021-08-04,65.9366455078125,72.91000366210938,74.06999969482422,72.76000213623047,73.05000305175781,28200
2021-08-05,66.09941101074219,73.08999633789062,73.73500061035156,72.94499969482422,73.2300033569336,20800
2021-08-06,66.75508880615234,73.81500244140625,74.125,73.24500274658203,73.58999633789062,34000
2021-08-09,67.9940414428711,75.18499755859375,75.55500030517578,73.41000366210938,73.82499694824219,49600
2021-08-10,68.32415008544922,75.55000305175781,75.95999908447266,74.78500366210938,75.18499755859375,43800
2021-08-11,69.74848937988281,77.125,77.375,76.01000213623047,76.33000183105469,22400
2021-08-12,71.3944320678711,78.94499969482422,79.50499725341797,77.0,77.125,77800
2021-08-13,69.8117904663086,77.19499969482422,79.43000030517578,76.93000030517578,79.25,22400
2021-08-16,70.5171890258789,77.9749984741211,78.44999694824219,75.28500366210938,76.93000030517578,30800
2021-08-17,68.45525360107422,75.69499969482422,77.63999938964844,74.5250015258789,76.5,65400
2021-08-18,67.7770004272461,74.94499969482422,76.125,74.8550033569336,75.44000244140625,48800
2021-08-19,68.28343200683594,75.50499725341797,75.68499755859375,73.51000213623047,74.44000244140625,60800
2021-08-20,68.15682983398438,75.36499786376953,76.99500274658203,75.0999984741211,75.42500305175781,42200
2021-08-23,68.32415008544922,75.55000305175781,75.8499984741211,74.9749984741211,75.69999694824219,25000
2021-08-24,68.9481430053711,76.23999786376953,77.08999633789062,75.55500030517578,75.55500030517578,42400
2021-08-25,70.1102294921875,77.5250015258789,78.5,76.42500305175781,76.42500305175781,37000
2021-08-26,69.08830261230469,76.3949966430664,77.55500030517578,76.0199966430664,77.55500030517578,27200
2021-08-27,69.0611572265625,76.36499786376953,77.16999816894531,76.08000183105469,76.96499633789062,26400
2021-08-30,69.09283447265625,76.4000015258789,76.8499984741211,75.66500091552734,76.26000213623047,21800
2021-08-31,69.26920318603516,76.59500122070312,76.7699966430664,75.51499938964844,76.37000274658203,31600
2021-09-01,69.67161560058594,77.04000091552734,77.0999984741211,76.25,76.59500122070312,25600
2021-09-02,68.75371551513672,76.0250015258789,78.0,75.94499969482422,77.625,27800
2021-09-03,69.82989501953125,77.21499633789062,77.33999633789062,75.75,76.0250015258789,26200
2021-09-07,68.0709228515625,75.2699966430664,77.66999816894531,75.04499816894531,76.08999633789062,61000
2021-09-08,69.60832977294922,76.97000122070312,76.9749984741211,75.19999694824219,75.19999694824219,60200
2021-09-09,68.82152557373047,76.0999984741211,77.44499969482422,75.80500030517578,77.12000274658203,30600
2021-09-10,67.95784759521484,75.1449966430664,76.4000015258789,74.67500305175781,76.01499938964844,105600
2021-09-13,67.37456512451172,74.5,75.9800033569336,74.05999755859375,75.125,45600
2021-09-14,66.40448760986328,73.24500274658203,74.5199966430664,73.0,74.25,61200
2021-09-15,67.8278579711914,74.81500244140625,74.88500213623047,73.16500091552734,73.23999786376953,32800
2021-09-16,68.75712585449219,75.83999633789062,76.2249984741211,74.25,74.7750015258789,30000
2021-09-17,67.75080871582031,74.7300033569336,76.49500274658203,74.7300033569336,76.08499908447266,216200
2021-09-20,66.24130249023438,73.06500244140625,75.53500366210938,72.34500122070312,73.25499725341797,60200
2021-09-21,65.96932983398438,72.76499938964844,73.56500244140625,71.5,73.1050033569336,29200
2021-09-22,66.30476379394531,73.13500213623047,73.73999786376953,72.21499633789062,73.07499694824219,42200
2021-09-23,66.94391632080078,73.83999633789062,74.5,73.55000305175781,73.74500274658203,23400
2021-09-24,66.91219329833984,73.80500030517578,74.4000015258789,73.25499725341797,73.25499725341797,17200
2021-09-27,68.42622375488281,75.4749984741211,76.0,73.82499694824219,73.82499694824219,31800
2021-09-28,65.6474838256836,72.41000366210938,75.5999984741211,72.30999755859375,75.5999984741211,47600
