Price,Adj Close,Close,High,Low,Open,Volume
Ticker,HIVE.TO,HIVE.TO,HIVE.TO,HIVE.TO,HIVE.TO,HIVE.TO
Date,,,,,,
2021-07-06,17.899999618530273,17.899999618530273,19.100000381469727,17.899999618530273,19.100000381469727,327840
2021-07-07,16.799999237060547,16.799999237060547,18.450000762939453,16.5,18.100000381469727,388960
2021-07-08,15.5,15.5,15.774999618530273,14.649999618530273,15.600000381469727,461000
2021-07-09,15.550000190734863,15.550000190734863,16.350000381469727,15.399999618530273,16.0,213020
2021-07-12,15.600000381469727,15.600000381469727,16.649999618530273,15.5,16.450000762939453,339940
2021-07-13,14.850000381469727,14.850000381469727,15.600000381469727,14.600000381469727,15.350000381469727,378020
2021-07-14,14.5,14.5,15.149999618530273,14.5,15.149999618530273,262920
2021-07-15,13.949999809265137,13.949999809265137,14.850000381469727,13.550000190734863,14.5,326020
2021-07-16,13.600000381469727,13.600000381469727,14.199999809265137,13.5,14.149999618530273,204300
2021-07-19,12.699999809265137,12.699999809265137,13.050000190734863,12.449999809265137,13.050000190734863,398080
2021-07-20,13.949999809265137,13.949999809265137,13.949999809265137,11.899999618530273,12.5,490280
2021-07-21,14.25,14.25,15.449999809265137,14.100000381469727,14.300000190734863,667320
2021-07-22,14.149999618530273,14.149999618530273,14.600000381469727,14.024999618530273,14.350000381469727,241560
2021-07-23,13.699999809265137,13.699999809265137,14.449999809265137,13.550000190734863,14.449999809265137,221240
2021-07-26,16.0,16.0,16.5,15.149999618530273,15.399999618530273,982600
2021-07-27,14.75,14.75,15.699999809265137,14.25,15.399999618530273,491520
2021-07-28,15.0,15.0,15.5,15.0,15.5,299240
2021-07-29,14.75,14.75,15.300000190734863,14.550000190734863,15.25,245540
2021-07-30,16.25,16.25,16.5,13.75,14.25,1224600
2021-08-03,16.75,16.75,17.0,15.600000381469727,16.0,486600
2021-08-04,17.450000762939453,17.450000762939453,17.700000762939453,16.5,16.5,435980
2021-08-05,18.25,18.25,19.100000381469727,16.5,16.899999618530273,684640
2021-08-06,19.049999237060547,19.049999237060547,19.700000762939453,17.899999618530273,18.600000381469727,705920
2021-08-09,20.25,20.25,21.350000381469727,20.049999237060547,20.299999237060547,891100
2021-08-10,19.5,19.5,20.649999618530273,18.600000381469727,20.5,490240
2021-08-11,20.0,20.0,20.799999237060547,19.600000381469727,20.0,697900
2021-08-12,19.5,19.5,19.649999618530273,18.049999237060547,19.450000762939453,490660
2021-08-13,19.149999618530273,19.149999618530273,20.5,18.950000762939453,20.450000762939453,356220
2021-08-16,18.600000381469727,18.600000381469727,19.75,18.549999237060547,19.549999237060547,278100
2021-08-17,16.850000381469727,16.850000381469727,19.0,16.75,18.450000762939453,385480
