symbol,strategy,decision,reason,price,prior_52_week_high,average_volume,rvol,sma_50,sma_200,breakout
AC.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,22.809999465942383,25.5,2140496,0.93,22.253000144958495,19.697000036239626,False
AEM.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,191.66000366210938,348.94000244140625,978390,0.53,232.5326007080078,255.30720092773439,False
AGI.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,39.619998931884766,75.77999877929688,1608556,0.63,49.52679992675781,54.07710000991821,False
AQN.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,8.1899995803833,9.6899995803833,2996188,0.87,8.21939995765686,8.504599990844726,False
ARX.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,31.93000030517578,32.58000183105469,3279437,0.68,31.008000106811522,27.23375,False
ATD.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,90.51000213623047,95.1500015258789,1846000,0.65,84.34720001220703,78.16260005950927,False
ATH.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,10.75,12.859999656677246,1530970,1.35,11.117999973297119,9.018650002479554,False
BB.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,12.399999618530273,18.450000762939453,7142952,0.36,12.745599956512452,7.426249988079071,False
BMO.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,250.25,258.2099914550781,1923355,1.1,234.11239959716798,198.5501496887207,False
BNS.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,122.41000366210938,126.87000274658203,5206426,0.8,116.185,102.90705009460449,False
BTE.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,5.909999847412109,7.369999885559082,3936859,0.61,6.296800012588501,5.147399994134903,False
CAE.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,34.529998779296875,47.650001525878906,775669,0.92,35.5302001953125,38.616650047302244,False
CCL-B.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,90.30000305175781,95.0,349570,0.59,87.76260025024413,85.47210006713867,False
CLS.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,431.8599853515625,655.5,324511,0.8,514.3949975585938,449.13064865112307,False
CM.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,165.5500030517578,171.63999938964844,2685054,1.13,158.35100006103517,136.1457499694824,False
CNQ.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,61.880001068115234,70.98999786376953,17601534,0.53,61.585800094604494,55.01595001220703,False
CNR.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,178.11000061035156,181.52000427246094,1353223,0.9,165.32539978027344,146.2596997833252,False
CP.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,128.88999938964844,131.60000610351562,1344611,1.4,123.27179916381836,110.886499710083,False
CSU.TO,52_WEEK_BREAKOUT,IGNORE,Average volume too low,2780.489990234375,5060.7001953125,53691,0.85,2771.8552099609374,2930.046201171875,False
CVE.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,39.790000915527344,44.130001068115234,5044234,0.94,38.467399978637694,30.910449962615967,False
DOL.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,190.0,209.9600067138672,637744,0.97,182.1663998413086,187.00095008850099,False
DSG.TO,52_WEEK_BREAKOUT,IGNORE,Average volume too low,103.58999633789062,150.74000549316406,289821,0.83,100.12160018920899,107.95784992218017,False
EMA.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,76.37999725341797,77.54000091552734,940126,0.83,73.59319976806641,70.17229991912842,False
EMP-A.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,50.7599983215332,58.31999969482422,591732,0.86,48.71220008850098,48.52495008468628,False
ENB.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,78.36000061035156,80.6500015258789,3932566,1.56,77.68460083007812,71.23020051956176,False
EQB.TO,52_WEEK_BREAKOUT,IGNORE,Average volume too low,140.75999450683594,150.32000732421875,92623,1.62,124.67959991455078,109.32089988708496,False
FM.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,37.59000015258789,46.36000061035156,2977392,1.07,39.352000045776364,35.773600034713745,False
FTS.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,82.0,82.80000305175781,1000769,1.52,79.08560012817382,75.37530014038086,False
GIB-A.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,96.0199966430664,142.47999572753906,527904,0.59,92.15059982299805,108.58019985198975,False
HIVE.TO,52_WEEK_BREAKOUT,IGNORE,Price below minimum,4.360000133514404,10.960000038146973,3461571,0.72,5.187000017166138,4.602600011825562,False
IFC.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,294.3900146484375,310.8399963378906,395142,0.53,279.2667984008789,269.0133493041992,False
IMO.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,172.44000244140625,191.75999450683594,564244,0.58,170.37400024414063,152.29190006256104,False
K.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,31.65999984741211,53.56999969482422,3078581,0.57,37.27480014801026,40.1578000831604,False
LUN.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,34.150001525878906,45.7400016784668,2316985,0.71,37.32280029296875,32.56330003738403,False
MFC.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,59.7599983215332,61.0099983215332,4355966,0.45,55.824400177001955,50.67645002365112,False
MRU.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,92.31999969482422,107.77999877929688,502552,0.79,90.95839950561523,94.58469970703125,False
NA.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,227.6300048828125,237.1300048828125,1294103,1.05,214.94699890136718,184.16494941711426,False
NTR.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,93.66000366210938,116.94999694824219,1986636,1.3,93.41980010986327,92.13115016937256,False
PAAS.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,59.369998931884766,95.38999938964844,785864,1.09,70.09719993591308,69.83705017089844,False
PEY.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,24.299999237060547,29.219999313354492,650564,0.61,25.008200149536133,24.000350017547607,False
PPL.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,71.30999755859375,72.2699966430664,2209559,1.05,66.9202001953125,59.21755002975464,False
RY.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,295.7699890136719,306.3800048828125,3342231,1.38,276.23239959716796,237.53044998168946,False
SHOP.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,175.1699981689453,253.10000610351562,1963689,1.3,157.0485998535156,186.75034996032716,False
SLF.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,113.5,115.22000122070312,1124180,1.06,105.67760025024414,91.91335018157959,False
STN.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,97.25,160.0500030517578,545463,0.96,102.19800018310546,126.15499973297119,False
SU.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,87.61000061035156,96.52999877929688,4592769,0.5,85.39059997558594,74.54845022201538,False
TD.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,169.32000732421875,175.3300018310547,7012038,0.63,161.83159973144532,135.63644973754882,False
TECK-B.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,76.62999725341797,98.57499694824219,1032481,1.11,87.07920028686523,73.3246499824524,False
TFII.TO,52_WEEK_BREAKOUT,IGNORE,Average volume too low,213.2100067138672,233.85000610351562,225885,0.74,207.30699920654297,162.44130027770996,False
TOU.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,62.47999954223633,70.56999969482422,2461154,0.41,62.964400100708005,62.60119997024536,False
TRP.TO,52_WEEK_BREAKOUT,IGNORE,Price has not reached the prior 52-week high,96.3499984741211,100.18000030517578,5240387,0.5,95.42,83.69314998626709,False
WCN.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,240.3800048828125,264.5799865722656,395556,0.58,222.79699981689453,230.27264961242676,False
WPM.TO,52_WEEK_BREAKOUT,IGNORE,50-day SMA is not above 200-day SMA,145.50999450683594,226.67999267578125,682149,0.7,169.26800048828125,171.98490020751953,False
